"Nation/State","Characteristic","Total",NA,"Any health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uninsured",NA,NA,NA
NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Any private health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public health insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Employment-based",NA,NA,NA,"Direct purchase",NA,NA,NA,"TRICARE",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Covered by Medicaid",NA,NA,NA,NA,NA,NA,NA,"Covered by Medicare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covered by VA care",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Also covered by private insurance",NA,NA,NA,"Also covered by Medicaid",NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA
NA,NA,"Number","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,"Number","Margin of error1","Percent","Margin of error1","Number","Margin of error1","Percent","Margin of error1",NA,NA,NA,NA,NA,NA,NA,NA
"Colorado",".19 - 64 years","3617","7","3239","18","89.5","0.4","2820","22","78","0.6","2366","22","65.40000000000001","0.6","479","14","13.2","0.4","115","7","3.2","0.2","561","16","15.5","0.4","460","15","12.7","0.4","76","6","2.1","0.2","77","5","2.1","0.1","23","3","0.6","0.1","44","4","1.2","0.1","81","5","2.3","0.1","378","15","10.5","0.4"
"Colorado",".65 years and over","960","3","951","4","99.09999999999999","0.2","472","7","49.2","0.8","244","7","25.5","0.7","238","6","24.8","0.6","70","4","7.3","0.4","913","5","95.09999999999999","0.4","102","5","10.6","0.5","45","3","4.6","0.3","912","5","95","0.4","434","7","45.2","0.7","102","5","10.6","0.5","64","4","6.7","0.4","9","2","0.9","0.2"
"Connecticut","All people","3631","2","3419","12","94.2","0.3","2456","30","67.59999999999999","0.8","2115","32","58.2","0.9","430","14","11.8","0.4","48","5","1.3","0.1","1379","25","38","0.7","798","26","22","0.7","124","9","3.4","0.2","717","7","19.8","0.2","324","9","8.9","0.2","152","8","4.2","0.2","48","4","1.3","0.1","212","12","5.8","0.3"
"Connecticut",".Under 65 years","2936","3","2730","12","93","0.4","2112","27","71.90000000000001","0.9","1884","29","64.2","1","280","13","9.5","0.4","34","5","1.2","0.2","728","24","24.8","0.8","684","24","23.3","0.8","88","8","3","0.3","67","5","2.3","0.2","17","3","0.6","0.1","39","4","1.3","0.1","20","3","0.7","0.1","206","12","7","0.4"
"Connecticut",".Under 19 years","779","4","758","5","97.40000000000001","0.4","507","11","65.09999999999999","1.5","459","12","59","1.6","57","7","7.4","0.9","11","3","1.4","0.3","293","12","37.7","1.5","292","12","37.5","1.5","42","6","5.3","0.7","3","1","0.4","0.2","1","1","0.1","0.1","2","1","0.3","0.2","1","1","0.1","0.1","20","3","2.6","0.4"
"Connecticut",".19 - 64 years","2158","5","1972","13","91.40000000000001","0.5","1605","19","74.40000000000001","0.8","1425","20","66","0.9","222","9","10.3","0.4","24","3","1.1","0.1","434","15","20.1","0.7","392","15","18.2","0.7","47","5","2.2","0.2","64","5","2.9","0.2","16","3","0.7","0.1","37","4","1.7","0.2","20","3","0.9","0.1","186","11","8.6","0.5"
"Connecticut",".65 years and over","695","2","689","3","99.2","0.2","345","8","49.6","1.2","230","7","33.1","1","150","6","21.6","0.9","14","2","2","0.3","652","4","93.8","0.5","114","6","16.4","0.9","36","3","5.2","0.5","651","4","93.7","0.5","307","8","44.2","1.2","114","6","16.4","0.9","28","3","4","0.4","6","2","0.8","0.2"
"Delaware","All people","1037","2","966","8","93.09999999999999","0.7","724","15","69.8","1.5","592","15","57.1","1.5","149","8","14.3","0.7","42","5","4.1","0.5","414","14","39.9","1.4","205","14","19.7","1.3","38","4","3.7","0.4","240","4","23.1","0.4","142","5","13.7","0.5","39","5","3.8","0.4","24","3","2.3","0.3","72","8","6.9","0.7"
"Delaware",".Under 65 years","814","2","744","8","91.5","0.9","580","15","71.3","1.9","503","15","61.8","1.9","77","7","9.5","0.8","28","5","3.4","0.6","199","14","24.5","1.7","179","14","22","1.7","25","4","3.1","0.4","26","4","3.1","0.5","6","1","0.7","0.2","14","3","1.7","0.4","10","2","1.3","0.3","69","7","8.5","0.9"
"Delaware",".Under 19 years","228","2","215","4","94.2","1.5","143","8","62.9","3.4","123","7","54.1","3.1","15","3","6.5","1.2","10","3","4.5","1.2","84","8","36.7","3.5","82","8","36.1","3.5","12","2","5.2","1.1","3","3","1.5","1.1","Z","Z","0.1","0.1","3","3","1.1","1.1","1","1","0.2","0.3","13","3","5.8","1.5"
