State,Area,Percentage of people fully vaccinated
Iowa,Taylor County,0.4751
Iowa,Union County,0.517
Iowa,Van Buren County,0.4188
Iowa,Wapello County,0.514
Iowa,Warren County,0.6414
Iowa,Washington County,0.58
Iowa,Wayne County,0.4319
Iowa,Webster County,0.5764
Iowa,Winnebago County,0.5274
Iowa,Winneshiek County,0.6342
Iowa,Woodbury County,0.592
Iowa,Worth County,0.5217
Iowa,Wright County,0.579
Kansas,Allen County,0.4743
Kansas,Anderson County,0.4489
Kansas,Atchison County,0.4779
Kansas,Barber County,0.457
Kansas,Barton County,0.4319
Kansas,Bourbon County,0.3782
Kansas,Brown County,0.627
Kansas,Butler County,0.5125
Kansas,Chase County,0.4817
Kansas,Chautauqua County,0.4128
Kansas,Cherokee County,0.4734
Kansas,Cheyenne County,0.464
Kansas,Clark County,0.4642
Kansas,Clay County,0.6194
Kansas,Cloud County,0.4806
Kansas,Coffey County,0.541
Kansas,Comanche County,0.4472
Kansas,Cowley County,0.4938
Kansas,Crawford County,0.4839
Kansas,Decatur County,0.4085
Kansas,Dickinson County,0.5841
Kansas,Doniphan County,0.4935
Kansas,Douglas County,0.6709
Kansas,Edwards County,0.4756
Kansas,Elk County,0.3513
Kansas,Ellis County,0.5157
Kansas,Ellsworth County,0.5676
Kansas,Finney County,0.5154
Kansas,Ford County,0.4673
Kansas,Franklin County,0.5393
Kansas,Geary County,0.9204
Kansas,Gove County,0.4945
Kansas,Graham County,0.4927
Kansas,Grant County,0.4594
Kansas,Gray County,0.4678
Kansas,Greeley County,0.545
Kansas,Greenwood County,0.501
Kansas,Hamilton County,0.4159
Kansas,Harper County,0.484
Kansas,Harvey County,0.4904
Kansas,Haskell County,0.3976
Kansas,Hodgeman County,0.4577
Kansas,Jackson County,0.6547
Kansas,Jefferson County,0.5677
Kansas,Jewell County,0.4719
Kansas,Johnson County,0.8416
Kansas,Kearny County,0.5455
Kansas,Kingman County,0.4669
Kansas,Kiowa County,0.517
Kansas,Labette County,0.4939
Kansas,Lane County,0.4068
Kansas,Leavenworth County,0.6351
Kansas,Lincoln County,0.4294
Kansas,Linn County,0.3713
Kansas,Logan County,0.4779
Kansas,Lyon County,0.5928
Kansas,McPherson County,0.5716
Kansas,Marion County,0.5086
Kansas,Marshall County,0.6545
Kansas,Meade County,0.4069
Kansas,Miami County,0.5166
Kansas,Mitchell County,0.5207
Kansas,Montgomery County,0.4586
Kansas,Morris County,0.5789
Kansas,Morton County,0.3932
Kansas,Nemaha County,0.5647
Kansas,Neosho County,0.2964
Kansas,Ness County,0.5029
Kansas,Norton County,0.5312
Kansas,Osage County,0.5286
Kansas,Osborne County,0.4069
Kansas,Ottawa County,0.4558
Kansas,Pawnee County,0.5372
Kansas,Phillips County,0.4329
Kansas,Pottawatomie County,0.4514
Kansas,Pratt County,0.4922
Kansas,Rawlins County,0.4448
Kansas,Reno County,0.5037
Kansas,Republic County,0.5139
Kansas,Rice County,0.4428
Kansas,Riley County,0.4062
Kansas,Rooks County,0.4758
Kansas,Rush County,0.5116
Kansas,Russell County,0.4377
Kansas,Saline County,0.512
Kansas,Scott County,0.4864
Kansas,Sedgwick County,0.581
Kansas,Seward County,0.4651
Kansas,Shawnee County,0.6371
Kansas,Sheridan County,0.3735
Kansas,Sherman County,0.4524
Kansas,Smith County,0.4488
Kansas,Stafford County,0.4715
Kansas,Stanton County,0.509
Kansas,Stevens County,0.394
Kansas,Sumner County,0.4448
Kansas,Thomas County,0.4243
Kansas,Trego County,0.3905
Kansas,Wabaunsee County,0.4967
Kansas,Wallace County,0.374
Kansas,Washington County,0.5435
Kansas,Wichita County,0.5156
Kansas,Wilson County,0.4446
Kansas,Woodson County,0.4331
Kansas,Wyandotte County,0.6173
Kentucky,Adair County,0.403
Kentucky,Allen County,0.4161
Kentucky,Anderson County,0.5986
Kentucky,Ballard County,0.3879
Kentucky,Barren County,0.4821
Kentucky,Bath County,0.5642
Kentucky,Bell County,0.4502
Kentucky,Boone County,0.6676
Kentucky,Bourbon County,0.5897
Kentucky,Boyd County,0.4968
Kentucky,Boyle County,0.5919
Kentucky,Bracken County,0.4854
Kentucky,Breathitt County,0.5196
Kentucky,Breckinridge County,0.5205
Kentucky,Bullitt County,0.4804
Kentucky,Butler County,0.4727
Kentucky,Caldwell County,0.5346
Kentucky,Calloway County,0.4797
Kentucky,Campbell County,0.676
Kentucky,Carlisle County,0.4125
Kentucky,Carroll County,0.4768
Kentucky,Carter County,0.4967
Kentucky,Casey County,0.3822
Kentucky,Christian County,0.3707
Kentucky,Clark County,0.5697
Kentucky,Clay County,0.4444
Kentucky,Clinton County,0.4251
Kentucky,Crittenden County,0.4075
Kentucky,Cumberland County,0.4543
Kentucky,Daviess County,0.5653
Kentucky,Edmonson County,0.3537
Kentucky,Elliott County,0.366
Kentucky,Estill County,0.5292
Kentucky,Fayette County,0.7034
Kentucky,Fleming County,0.5335
Kentucky,Floyd County,0.5625
Kentucky,Franklin County,0.6442
Kentucky,Fulton County,0.5881
Kentucky,Gallatin County,0.4281
Kentucky,Garrard County,0.5035
Kentucky,Grant County,0.5072
Kentucky,Graves County,0.4696
Kentucky,Grayson County,0.5375
Kentucky,Green County,0.4427
Kentucky,Greenup County,0.5327
Kentucky,Hancock County,0.6096
Kentucky,Hardin County,0.6942
Kentucky,Harlan County,0.4558
Kentucky,Harrison County,0.5207
Kentucky,Hart County,0.3752
Kentucky,Henderson County,0.5254
Kentucky,Henry County,0.5623
Kentucky,Hickman County,0.3693
Kentucky,Hopkins County,0.522
Kentucky,Jackson County,0.3755
Kentucky,Jefferson County,0.6659
Kentucky,Jessamine County,0.574
Kentucky,Johnson County,0.4989
Kentucky,Kenton County,0.6384
Kentucky,Knott County,0.4679
Kentucky,Knox County,0.3717
Kentucky,Larue County,0.4559
Kentucky,Laurel County,0.4185
Kentucky,Lawrence County,0.4827
Kentucky,Lee County,0.5583
Kentucky,Leslie County,0.504
Kentucky,Letcher County,0.5147
Kentucky,Lewis County,0.4004
Kentucky,Lincoln County,0.4233
Kentucky,Livingston County,0.502
Kentucky,Logan County,0.5299
Kentucky,Lyon County,0.5987
Kentucky,McCracken County,0.5774
Kentucky,McCreary County,0.3921
Kentucky,McLean County,0.52
Kentucky,Madison County,0.516
Kentucky,Magoffin County,0.5017
Kentucky,Marion County,0.5175
Kentucky,Marshall County,0.548
Kentucky,Martin County,0.5206
Kentucky,Mason County,0.5215
Kentucky,Meade County,0.4099
Kentucky,Menifee County,0.4649
Kentucky,Mercer County,0.5714
Kentucky,Metcalfe County,0.4186
Kentucky,Monroe County,0.4728
Kentucky,Montgomery County,0.4882
Kentucky,Morgan County,0.4929
Kentucky,Muhlenberg County,0.519
Kentucky,Nelson County,0.5484
Kentucky,Nicholas County,0.5535
Kentucky,Ohio County,0.4083
Kentucky,Oldham County,0.6056
Kentucky,Owen County,0.3935
Kentucky,Owsley County,0.4808
Kentucky,Pendleton County,0.4559
Kentucky,Perry County,0.6078
Kentucky,Pike County,0.516
Kentucky,Powell County,0.5426
Kentucky,Pulaski County,0.4827
Kentucky,Robertson County,0.3892
Kentucky,Rockcastle County,0.4118
Kentucky,Rowan County,0.5373
Kentucky,Russell County,0.4751
Kentucky,Scott County,0.6129
Kentucky,Shelby County,0.5081
Kentucky,Simpson County,0.5381
Kentucky,Spencer County,0.3302
Kentucky,Taylor County,0.4983
Kentucky,Todd County,0.4368
Kentucky,Trigg County,0.4953
Kentucky,Trimble County,0.4461
Kentucky,Union County,0.4245
Kentucky,Warren County,0.4211
Kentucky,Washington County,0.5295
Kentucky,Wayne County,0.4299
Kentucky,Webster County,0.4662
Kentucky,Whitley County,0.4587
Kentucky,Wolfe County,0.5445
Kentucky,Woodford County,0.7026
Louisiana,Acadia Parish,0.3989
Louisiana,Allen Parish,0.3122
Louisiana,Ascension Parish,0.5523
Louisiana,Assumption Parish,0.4696
Louisiana,Avoyelles Parish,0.4849
Louisiana,Beauregard Parish,0.3464
Louisiana,Bienville Parish,0.4298
Louisiana,Bossier Parish,0.4602
Louisiana,Caddo Parish,0.4739
Louisiana,Calcasieu Parish,0.4306
Louisiana,Caldwell Parish,0.3847
Louisiana,Cameron Parish,0.3425
Louisiana,Catahoula Parish,0.3824
Louisiana,Claiborne Parish,0.4298
Louisiana,Concordia Parish,0.4591
Louisiana,De Soto Parish,0.4297
Louisiana,East Baton Rouge Parish,0.5697
Louisiana,East Carroll Parish,0.4541
Louisiana,East Feliciana Parish,0.6086
Louisiana,Evangeline Parish,0.4768
Louisiana,Franklin Parish,0.3932
Louisiana,Grant Parish,0.3391
Louisiana,Iberia Parish,0.4656
Louisiana,Iberville Parish,0.5435
Louisiana,Jackson Parish,0.4723
Louisiana,Jefferson Parish,0.668
Louisiana,Jefferson Davis Parish,0.4165
Louisiana,Lafayette Parish,0.5279
Louisiana,Lafourche Parish,0.4986
Louisiana,LaSalle Parish,0.4616
Louisiana,Lincoln Parish,0.4348
Louisiana,Livingston Parish,0.4259
Louisiana,Madison Parish,0.4474
Louisiana,Morehouse Parish,0.4532
Louisiana,Natchitoches Parish,0.45
Louisiana,Orleans Parish,0.7078
Louisiana,Ouachita Parish,0.4603
Louisiana,Plaquemines Parish,0.583
Louisiana,Pointe Coupee Parish,0.6015
Louisiana,Rapides Parish,0.5074
Louisiana,Red River Parish,0.3707
Louisiana,Richland Parish,0.4409
Louisiana,Sabine Parish,0.3921
Louisiana,St. Bernard Parish,0.5213
Louisiana,St. Charles Parish,0.5989
Louisiana,St. Helena Parish,0.5134
Louisiana,St. James Parish,0.5501
Louisiana,St. John the Baptist Parish,0.6077
Louisiana,St. Landry Parish,0.5164
Louisiana,St. Martin Parish,0.4735
Louisiana,St. Mary Parish,0.4533
Louisiana,St. Tammany Parish,0.5878
Louisiana,Tangipahoa Parish,0.4748
Louisiana,Tensas Parish,0.4674
Louisiana,Terrebonne Parish,0.4464
Louisiana,Union Parish,0.4548
Louisiana,Vermilion Parish,0.418
Louisiana,Vernon Parish,0.3552
Louisiana,Washington Parish,0.4552
Louisiana,Webster Parish,0.4339
Louisiana,West Baton Rouge Parish,0.5868
Louisiana,West Carroll Parish,0.3904
Louisiana,West Feliciana Parish,0.6695
Louisiana,Winn Parish,0.4729
Maine,Androscoggin County,0.7342
Maine,Aroostook County,0.7002
Maine,Cumberland County,0.9341
Maine,Franklin County,0.6721
Maine,Hancock County,0.8098
Maine,Kennebec County,0.7532
Maine,Knox County,0.8732
Maine,Lincoln County,0.8575
Maine,Oxford County,0.7178
Maine,Penobscot County,0.742
Maine,Piscataquis County,0.6368
Maine,Sagadahoc County,0.8479
Maine,Somerset County,0.6391
Maine,Waldo County,0.7477
Maine,Washington County,0.7471
Maine,York County,0.8495
Maryland,Allegany County,0.4931
Maryland,Anne Arundel County,0.7153
Maryland,Baltimore County,0.7102
Maryland,Calvert County,0.6902
Maryland,Caroline County,0.5631
Maryland,Carroll County,0.6945
Maryland,Cecil County,0.5217
Maryland,Charles County,0.6664
Maryland,Dorchester County,0.5741
Maryland,Frederick County,0.7874
Maryland,Garrett County,0.4631
Maryland,Harford County,0.6833
Maryland,Howard County,0.8566
Maryland,Kent County,0.625
Maryland,Montgomery County,0.8163
Maryland,Prince George's County,0.6739
Maryland,Queen Anne's County,0.6718
Maryland,St. Mary's County,0.6183
Maryland,Somerset County,0.4901
Maryland,Talbot County,0.7131
Maryland,Washington County,0.57
Maryland,Wicomico County,0.55
Maryland,Worcester County,0.6992
Maryland,Baltimore city,0.5943
Massachusetts,Barnstable County,#REF!
Massachusetts,Berkshire County,0.6204
Massachusetts,Bristol County,0.7058
Massachusetts,Dukes County,#REF!
Massachusetts,Essex County,0.7894
Massachusetts,Franklin County,0.7243
Massachusetts,Hampden County,0.6909
Massachusetts,Hampshire County,0.7133
Massachusetts,Middlesex County,0.8552
Massachusetts,Nantucket County,#REF!
Massachusetts,Norfolk County,0.8497
Massachusetts,Plymouth County,0.7604
Massachusetts,Suffolk County,0.7857
Massachusetts,Worcester County,0.748
Michigan,Alcona County,0.5779
Michigan,Alger County,0.6156
Michigan,Allegan County,0.5493
Michigan,Alpena County,0.5477
Michigan,Antrim County,0.5824
Michigan,Arenac County,0.5027
Michigan,Baraga County,0.4519
Michigan,Barry County,0.513
Michigan,Bay County,0.5589
Michigan,Benzie County,0.6467
Michigan,Berrien County,0.5193
Michigan,Branch County,0.4322
Michigan,Calhoun County,0.5055
Michigan,Cass County,0.3732
Michigan,Charlevoix County,0.6229
Michigan,Cheboygan County,0.5455
Michigan,Chippewa County,0.5284
Michigan,Clare County,0.4672
Michigan,Clinton County,0.6184
Michigan,Crawford County,0.5348
Michigan,Delta County,0.5342
Michigan,Dickinson County,0.4933
Michigan,Eaton County,0.595
Michigan,Emmet County,0.6692
Michigan,Genesee County,0.5032
Michigan,Gladwin County,0.4858
Michigan,Gogebic County,0.4859
Michigan,Grand Traverse County,0.6806
Michigan,Gratiot County,0.4606
Michigan,Hillsdale County,0.3916
Michigan,Houghton County,0.4877
Michigan,Huron County,0.5265
Michigan,Ingham County,0.5895
Michigan,Ionia County,0.4851
Michigan,Iosco County,0.5607
Michigan,Iron County,0.519
Michigan,Isabella County,0.4436
Michigan,Jackson County,0.5306
Michigan,Kalamazoo County,0.6383
Michigan,Kalkaska County,0.4962
Michigan,Kent County,0.6449
Michigan,Keweenaw County,0.5653
Michigan,Lake County,0.6257
Michigan,Lapeer County,0.4743
Michigan,Leelanau County,0.7547
Michigan,Lenawee County,0.4862
Michigan,Livingston County,0.6106
Michigan,Luce County,0.4301
Michigan,Mackinac County,0.6383
Michigan,Macomb County,0.5781
Michigan,Manistee County,0.6019
Michigan,Marquette County,0.6152
Michigan,Mason County,0.6117
Michigan,Mecosta County,0.4268
Michigan,Menominee County,0.4718
Michigan,Midland County,0.6028
Michigan,Missaukee County,0.4965
Michigan,Monroe County,0.4324
Michigan,Montcalm County,0.439
Michigan,Montmorency County,0.5542
Michigan,Muskegon County,0.5585
Michigan,Newaygo County,0.4619
Michigan,Oakland County,0.6766
Michigan,Oceana County,0.5415
Michigan,Ogemaw County,0.4537
Michigan,Ontonagon County,0.5947
Michigan,Osceola County,0.4187
Michigan,Oscoda County,0.4243
Michigan,Otsego County,0.5466
Michigan,Ottawa County,0.6062
Michigan,Presque Isle County,0.5958
Michigan,Roscommon County,0.5572
Michigan,Saginaw County,0.5263
Michigan,St. Clair County,0.4989
Michigan,St. Joseph County,0.4423
Michigan,Sanilac County,0.428
Michigan,Schoolcraft County,0.5655
Michigan,Shiawassee County,0.5182
Michigan,Tuscola County,0.455
Michigan,Van Buren County,0.5808
Michigan,Washtenaw County,0.6892
Michigan,Wayne County*,0.6287
Michigan,Wexford County,0.5282
Minnesota,Aitkin County,0.6081
Minnesota,Anoka County,0.633
Minnesota,Becker County,0.5772
Minnesota,Beltrami County,0.7338
Minnesota,Benton County,0.4678
Minnesota,Big Stone County,0.6521
Minnesota,Blue Earth County,0.6391
Minnesota,Brown County,0.668
Minnesota,Carlton County,0.674
Minnesota,Carver County,0.7298
Minnesota,Cass County,0.6086
Minnesota,Chippewa County,0.5475
Minnesota,Chisago County,0.6139
Minnesota,Clay County,0.6661
Minnesota,Clearwater County,0.4309
Minnesota,Cook County,0.8545
Minnesota,Cottonwood County,0.5666
Minnesota,Crow Wing County,0.5934
Minnesota,Dakota County,0.7416
Minnesota,Dodge County,0.6317
Minnesota,Douglas County,0.6073
Minnesota,Faribault County,0.577
Minnesota,Fillmore County,0.7141
Minnesota,Freeborn County,0.5894
Minnesota,Goodhue County,0.6864
Minnesota,Grant County,0.5711
Minnesota,Hennepin County,0.7933
Minnesota,Houston County,0.6257
Minnesota,Hubbard County,0.5066
Minnesota,Isanti County,0.4642
Minnesota,Itasca County,0.5805
Minnesota,Jackson County,0.518
Minnesota,Kanabec County,0.4512
Minnesota,Kandiyohi County,0.5707
Minnesota,Kittson County,0.6138
Minnesota,Koochiching County,0.5828
Minnesota,Lac qui Parle County,0.5952
Minnesota,Lake County,0.6859
Minnesota,Lake of the Woods County,0.5582
Minnesota,Le Sueur County,0.525
Minnesota,Lincoln County,0.5492
Minnesota,Lyon County,0.5766
Minnesota,McLeod County,0.5962
Minnesota,Mahnomen County,0.6311
Minnesota,Marshall County,0.5094
Minnesota,Martin County,0.5621
Minnesota,Meeker County,0.4977
Minnesota,Mille Lacs County,0.609
Minnesota,Morrison County,0.5236
Minnesota,Mower County,0.6484
Minnesota,Murray County,0.5538
Minnesota,Nicollet County,0.6538
Minnesota,Nobles County,0.6269
Minnesota,Norman County,0.6051
Minnesota,Olmsted County,0.8285
Minnesota,Otter Tail County,0.5374
Minnesota,Pennington County,0.5453
Minnesota,Pine County,0.5136
Minnesota,Pipestone County,0.5641
Minnesota,Polk County,0.5995
Minnesota,Pope County,0.6067
Minnesota,Ramsey County,0.7608
Minnesota,Red Lake County,0.5858
Minnesota,Redwood County,0.5549
Minnesota,Renville County,0.5563
Minnesota,Rice County,0.6647
Minnesota,Rock County,0.5638
Minnesota,Roseau County,0.5214
Minnesota,St. Louis County,0.6888
Minnesota,Scott County,0.7459
Minnesota,Sherburne County,0.4991
Minnesota,Sibley County,0.5015
Minnesota,Stearns County,0.6274
Minnesota,Steele County,0.6255
Minnesota,Stevens County,0.6013
Minnesota,Swift County,0.5856
Minnesota,Todd County,0.4455
Minnesota,Traverse County,0.6509
Minnesota,Wabasha County,0.7773
Minnesota,Wadena County,0.5112
Minnesota,Waseca County,0.5793
Minnesota,Washington County,0.7593
Minnesota,Watonwan County,0.594
Minnesota,Wilkin County,0.5732
Minnesota,Winona County,0.6744
Minnesota,Wright County,0.5907
Minnesota,Yellow Medicine County,0.5728
Mississippi,Adams County,0.5544
Mississippi,Alcorn County,0.4031
Mississippi,Amite County,0.4071
Mississippi,Attala County,0.5475
Mississippi,Benton County,0.5379
Mississippi,Bolivar County,0.5723
Mississippi,Calhoun County,0.4511
Mississippi,Carroll County,0.42
Mississippi,Chickasaw County,0.4923
Mississippi,Choctaw County,0.3681
Mississippi,Claiborne County,0.5531
Mississippi,Clarke County,0.5734
Mississippi,Clay County,0.4716
Mississippi,Coahoma County,0.4987
Mississippi,Copiah County,0.5477
Mississippi,Covington County,0.5666
Mississippi,DeSoto County,0.601
Mississippi,Forrest County,0.4503
Mississippi,Franklin County,0.4934
Mississippi,George County,0.4261
Mississippi,Greene County,0.3763
Mississippi,Grenada County,0.5282
Mississippi,Hancock County,0.469
Mississippi,Harrison County,0.5883
Mississippi,Hinds County,0.5774
Mississippi,Holmes County,0.5865
Mississippi,Humphreys County,0.5734
Mississippi,Issaquena County,0.4533
Mississippi,Itawamba County,0.3552
Mississippi,Jackson County,0.4968
Mississippi,Jasper County,0.5225
Mississippi,Jefferson County,0.6933
Mississippi,Jefferson Davis County,0.4525
Mississippi,Jones County,0.4451
Mississippi,Kemper County,0.4633
Mississippi,Lafayette County,0.5687
Mississippi,Lamar County,0.6324
Mississippi,Lauderdale County,0.5052
Mississippi,Lawrence County,0.5676
Mississippi,Leake County,0.5038
Mississippi,Lee County,0.4508
Mississippi,Leflore County,0.6029
Mississippi,Lincoln County,0.3985
Mississippi,Lowndes County,0.52
Mississippi,Madison County,0.6704
Mississippi,Marion County,0.4641
Mississippi,Marshall County,0.5624
Mississippi,Monroe County,0.51
Mississippi,Montgomery County,0.545
Mississippi,Neshoba County,0.4349
Mississippi,Newton County,0.5405
Mississippi,Noxubee County,0.5458
Mississippi,Oktibbeha County,0.5264
Mississippi,Panola County,0.4918
Mississippi,Pearl River County,0.4996
Mississippi,Perry County,0.3873
Mississippi,Pike County,0.5156
Mississippi,Pontotoc County,0.4382
Mississippi,Prentiss County,0.4342
Mississippi,Quitman County,0.5115
Mississippi,Rankin County,0.5395
Mississippi,Scott County,0.5169
Mississippi,Sharkey County,0.5502
Mississippi,Simpson County,0.4591
Mississippi,Smith County,0.3492
Mississippi,Stone County,0.472
Mississippi,Sunflower County,0.5165
Mississippi,Tallahatchie County,0.4098
Mississippi,Tate County,0.4604
Mississippi,Tippah County,0.4322
Mississippi,Tishomingo County,0.3951
Mississippi,Tunica County,0.5085
Mississippi,Union County,0.4095
Mississippi,Walthall County,0.4165
Mississippi,Warren County,0.5718
Mississippi,Washington County,0.4892
Mississippi,Wayne County,0.3967
Mississippi,Webster County,0.4851
Mississippi,Wilkinson County,0.6513
Mississippi,Winston County,0.4839
Mississippi,Yalobusha County,0.6544
Mississippi,Yazoo County,0.5415
Missouri,Adair County,0.4754
Missouri,Andrew County,0.4112
Missouri,Atchison County,0.5672
Missouri,Audrain County,0.3882
Missouri,Barry County,0.4644
Missouri,Barton County,0.34
Missouri,Bates County,0.3966
Missouri,Benton County,0.5119
Missouri,Bollinger County,0.3365
Missouri,Boone County,0.6661
Missouri,Buchanan County,0.3941
Missouri,Butler County,0.356
Missouri,Caldwell County,0.4016
Missouri,Callaway County,0.497
Missouri,Camden County,0.4851
Missouri,Cape Girardeau County,0.5097
Missouri,Carroll County,0.4975
Missouri,Carter County,0.3294
Missouri,Cass County,0.563
Missouri,Cedar County,0.3362
Missouri,Chariton County,0.3858
Missouri,Christian County,0.4994
Missouri,Clark County,0.3284
Missouri,Clay County,1.1656
Missouri,Clinton County,0.499
Missouri,Cole County,0.5467
Missouri,Cooper County,0.4654
Missouri,Crawford County,0.3405
Missouri,Dade County,0.4444
Missouri,Dallas County,0.3697
Missouri,Daviess County,0.3459
Missouri,DeKalb County,0.2894
Missouri,Dent County,0.358
Missouri,Douglas County,0.2441
Missouri,Dunklin County,0.3717
Missouri,Franklin County,0.5636
Missouri,Gasconade County,0.5165
Missouri,Gentry County,0.4488
Missouri,Greene County,0.5204
Missouri,Grundy County,0.3637
Missouri,Harrison County,0.3473
Missouri,Henry County,0.4771
Missouri,Hickory County,0.4007
Missouri,Holt County,0.43
Missouri,Howard County,0.4404
Missouri,Howell County,0.3447
Missouri,Iron County,0.3962
Missouri,Jackson County,1.1084
Missouri,Jasper County,0.7775
Missouri,Jefferson County,0.469
Missouri,Johnson County,0.4691
Missouri,Knox County,0.4118
Missouri,Laclede County,0.3915
Missouri,Lafayette County,0.475
Missouri,Lawrence County,0.3949
Missouri,Lewis County,0.3453
Missouri,Lincoln County,0.4308
Missouri,Linn County,0.471
Missouri,Livingston County,0.4455
Missouri,McDonald County,0.3496
Missouri,Macon County,0.4191
Missouri,Madison County,0.4097
Missouri,Maries County,0.4448
Missouri,Marion County,0.4308
Missouri,Mercer County,0.3709
Missouri,Miller County,0.3515
Missouri,Mississippi County,0.4235
Missouri,Moniteau County,0.3742
Missouri,Monroe County,0.4575
Missouri,Montgomery County,0.5017
Missouri,Morgan County,0.3906
Missouri,New Madrid County,0.3329
Missouri,Newton County,0.3002
Missouri,Nodaway County,0.4944
Missouri,Oregon County,0.3212
Missouri,Osage County,0.4064
Missouri,Ozark County,0.3286
Missouri,Pemiscot County,0.3049
Missouri,Perry County,0.4053
Missouri,Pettis County,0.4444
Missouri,Phelps County,0.4522
Missouri,Pike County,0.3803
Missouri,Platte County,1.0884
Missouri,Polk County,0.4083
Missouri,Pulaski County,0.6124
Missouri,Putnam County,0.3472
Missouri,Ralls County,0.2975
Missouri,Randolph County,0.3916
Missouri,Ray County,0.4147
Missouri,Reynolds County,0.2793
Missouri,Ripley County,0.2953
Missouri,St. Charles County,0.6582
Missouri,St. Clair County,0.3547
Missouri,Ste. Genevieve County,0.4616
Missouri,St. Francois County,0.4551
Missouri,St. Louis County,0.6749
Missouri,Saline County,0.4721
Missouri,Schuyler County,0.2872
Missouri,Scotland County,0.2728
Missouri,Scott County,0.4413
Missouri,Shannon County,0.3114
Missouri,Shelby County,0.4714
Missouri,Stoddard County,0.4032
Missouri,Stone County,0.3938
Missouri,Sullivan County,0.4282
Missouri,Taney County,0.4276
Missouri,Texas County,0.3327
Missouri,Vernon County,0.3611
Missouri,Warren County,0.4524
Missouri,Washington County,0.3271
Missouri,Wayne County,0.3611
Missouri,Webster County,0.4517
Missouri,Worth County,0.4191
Missouri,Wright County,0.366
Montana,Beaverhead County,0.4711
Montana,Big Horn County,0.5358
Montana,Blaine County,0.4778
Montana,Broadwater County,0.3099
Montana,Carbon County,0.4573
Montana,Carter County,0.258
Montana,Cascade County,0.4239
Montana,Chouteau County,0.3356
Montana,Custer County,0.37
Montana,Daniels County,0.3697
Montana,Dawson County,0.3197
Montana,Deer Lodge County,0.5799
Montana,Fallon County,0.3312
Montana,Fergus County,0.43
Montana,Flathead County,0.4238
Montana,Gallatin County,0.6038
Montana,Garfield County,0.2244
Montana,Glacier County,0.5494
Montana,Golden Valley County,0.4641
Montana,Granite County,0.3582
Montana,Hill County,0.4818
Montana,Jefferson County,0.5001
Montana,Judith Basin County,0.3649
Montana,Lake County,0.5714
Montana,Lewis and Clark County,0.5595
Montana,Liberty County,0.3211
Montana,Lincoln County,0.4018
Montana,McCone County,0.2589
Montana,Madison County,0.4309
Montana,Meagher County,0.4405
Montana,Mineral County,0.464
Montana,Missoula County,0.6149
Montana,Musselshell County,0.2989
Montana,Park County,0.5284
Montana,Petroleum County,0.3264
Montana,Phillips County,0.3574
Montana,Pondera County,0.475
Montana,Powder River County,0.2458
Montana,Powell County,0.4676
Montana,Prairie County,0.3145
Montana,Ravalli County,0.4788
Montana,Richland County,0.3083
Montana,Roosevelt County,0.4374
Montana,Rosebud County,0.4765
Montana,Sanders County,0.3698
Montana,Sheridan County,0.4771
Montana,Silver Bow County,0.5913
Montana,Stillwater County,0.3731
Montana,Sweet Grass County,0.3627
Montana,Teton County,0.3722
Montana,Toole County,0.3571
Montana,Treasure County,0.3784
Montana,Valley County,0.3732
Montana,Wheatland County,0.3336
Montana,Wibaux County,0.2426
Montana,Yellowstone County,0.3458
Nebraska,Adams County,0.4322
Nebraska,Antelope County,0.377
Nebraska,Arthur County,0.2225
Nebraska,Banner County,0.3578
Nebraska,Blaine County,0.2604
Nebraska,Boone County,0.4912
Nebraska,Box Butte County,0.3436
Nebraska,Boyd County,0.3452
Nebraska,Brown County,0.3758
Nebraska,Buffalo County,0.4437
Nebraska,Burt County,0.5977
Nebraska,Butler County,0.523
Nebraska,Cass County,0.6568
Nebraska,Cedar County,0.4223
Nebraska,Chase County,0.3613
Nebraska,Cherry County,0.3549
Nebraska,Cheyenne County,0.3988
Nebraska,Clay County,0.4241
Nebraska,Colfax County,0.4886
Nebraska,Cuming County,0.5349
Nebraska,Custer County,0.3905
Nebraska,Dakota County,0.67
Nebraska,Dawes County,0.396
Nebraska,Dawson County,0.507
Nebraska,Deuel County,0.3464
Nebraska,Dixon County,0.4443
Nebraska,Dodge County,0.5563
Nebraska,Douglas County,0.7191
Nebraska,Dundy County,0.3332
Nebraska,Fillmore County,0.5257
Nebraska,Franklin County,0.3939
Nebraska,Frontier County,0.2913
Nebraska,Furnas County,0.4509
Nebraska,Gage County,0.4694
Nebraska,Garden County,0.4591
Nebraska,Garfield County,0.3109
Nebraska,Gosper County,0.4065
Nebraska,Grant County,0.1894
Nebraska,Greeley County,0.405
Nebraska,Hall County,0.5322
Nebraska,Hamilton County,0.4847
Nebraska,Harlan County,0.4034
Nebraska,Hayes County,0.2566
Nebraska,Hitchcock County,0.3429
Nebraska,Holt County,0.4326
Nebraska,Hooker County,0.4269
Nebraska,Howard County,0.4393
Nebraska,Jefferson County,0.5563
Nebraska,Johnson County,0.5432
Nebraska,Kearney County,0.4792
Nebraska,Keith County,0.3867
Nebraska,Keya Paha County,0.3119
Nebraska,Kimball County,0.3583
Nebraska,Knox County,0.5126
Nebraska,Lancaster County,0.7086
Nebraska,Lincoln County,0.3402
Nebraska,Logan County,0.1885
Nebraska,Loup County,0.3419
Nebraska,McPherson County,0.163
Nebraska,Madison County,0.4756
Nebraska,Merrick County,0.4473
